Logging to file...
Dataset samples: 32000
######################Training Started######################
epoch   1 | iteration    20 | Loss 4.806109 | Acc 3.12%
epoch   1 | iteration    40 | Loss 4.690742 | Acc 1.56%
epoch   1 | iteration    60 | Loss 4.433179 | Acc 9.38%
epoch   1 | iteration    80 | Loss 4.057044 | Acc 14.06%
epoch   1 | iteration   100 | Loss 3.584607 | Acc 23.44%
epoch   1 | iteration   120 | Loss 3.154932 | Acc 23.44%
epoch   1 | iteration   140 | Loss 2.571231 | Acc 53.12%
epoch   1 | iteration   160 | Loss 2.332449 | Acc 51.56%
epoch   1 | iteration   180 | Loss 2.181893 | Acc 59.38%
epoch   1 | iteration   200 | Loss 2.086174 | Acc 46.88%
epoch   1 | iteration   220 | Loss 1.812959 | Acc 68.75%
epoch   1 | iteration   240 | Loss 1.504502 | Acc 79.69%
epoch   1 | iteration   260 | Loss 1.452454 | Acc 70.31%
epoch   1 | iteration   280 | Loss 1.260657 | Acc 76.56%
epoch   1 | iteration   300 | Loss 1.168904 | Acc 76.56%
epoch   1 | iteration   320 | Loss 1.068906 | Acc 78.12%
epoch   1 | iteration   340 | Loss 0.975608 | Acc 84.38%
epoch   1 | iteration   360 | Loss 0.810763 | Acc 92.19%
epoch   1 | iteration   380 | Loss 0.613828 | Acc 89.06%
epoch   1 | iteration   400 | Loss 0.633274 | Acc 95.31%
Average Training Loss of Epoch 1: 2.366676 | Acc: 52.11%
Average Validation Loss of Epoch 1: 1.332458 | Acc: 68.62%
####################Epoch 1 Model Saved#####################
epoch   2 | iteration    20 | Loss 0.798955 | Acc 82.81%
epoch   2 | iteration    40 | Loss 0.665615 | Acc 87.50%
epoch   2 | iteration    60 | Loss 0.634525 | Acc 89.06%
epoch   2 | iteration    80 | Loss 0.610429 | Acc 82.81%
epoch   2 | iteration   100 | Loss 0.522865 | Acc 89.06%
epoch   2 | iteration   120 | Loss 0.360549 | Acc 93.75%
epoch   2 | iteration   140 | Loss 0.432643 | Acc 90.62%
epoch   2 | iteration   160 | Loss 0.504695 | Acc 89.06%
