Logging to file...
Dataset samples: 18601
######################Training Started######################
epoch   1 | iteration    20 | Loss 7.045794 | WER 100.00%
epoch   1 | iteration    40 | Loss 6.031156 | WER 100.00%
epoch   1 | iteration    60 | Loss 6.786479 | WER 100.00%
epoch   1 | iteration    80 | Loss 5.059599 | WER 100.00%
epoch   1 | iteration   100 | Loss 8.537753 | WER 100.00%
epoch   1 | iteration   120 | Loss 6.386596 | WER 100.00%
epoch   1 | iteration   140 | Loss 6.097060 | WER 100.00%
epoch   1 | iteration   160 | Loss 5.934815 | WER 100.00%
epoch   1 | iteration   180 | Loss 6.609435 | WER 100.00%
epoch   1 | iteration   200 | Loss 6.256520 | WER 100.00%
epoch   1 | iteration   220 | Loss 5.149711 | WER 100.00%
epoch   1 | iteration   240 | Loss 10.014673 | WER 100.00%
epoch   1 | iteration   260 | Loss 7.685206 | WER 100.00%
epoch   1 | iteration   280 | Loss 5.464249 | WER 100.00%
epoch   1 | iteration   300 | Loss 6.466989 | WER 100.00%
epoch   1 | iteration   320 | Loss 6.134151 | WER 100.00%
epoch   1 | iteration   340 | Loss 5.101952 | WER 100.00%
epoch   1 | iteration   360 | Loss 6.374028 | WER 100.00%
epoch   1 | iteration   380 | Loss 4.854623 | WER 100.00%
epoch   1 | iteration   400 | Loss 5.009689 | WER 100.00%
epoch   1 | iteration   420 | Loss 5.986300 | WER 100.00%
epoch   1 | iteration   440 | Loss 6.644134 | WER 100.00%
epoch   1 | iteration   460 | Loss 6.713005 | WER 100.00%
epoch   1 | iteration   480 | Loss 4.758501 | WER 100.00%
epoch   1 | iteration   500 | Loss 5.860149 | WER 100.00%
epoch   1 | iteration   520 | Loss 6.443576 | WER 100.00%
epoch   1 | iteration   540 | Loss 6.800306 | WER 100.00%
epoch   1 | iteration   560 | Loss 6.393064 | WER 100.00%
epoch   1 | iteration   580 | Loss 5.248887 | WER 100.00%
epoch   1 | iteration   600 | Loss 5.819616 | WER 100.00%
epoch   1 | iteration   620 | Loss 5.842955 | WER 100.00%
epoch   1 | iteration   640 | Loss 6.097129 | WER 100.00%
epoch   1 | iteration   660 | Loss 5.744098 | WER 100.00%
epoch   1 | iteration   680 | Loss 6.093994 | WER 100.00%
epoch   1 | iteration   700 | Loss 5.957535 | WER 100.00%
epoch   1 | iteration   720 | Loss 5.994596 | WER 100.00%
epoch   1 | iteration   740 | Loss 6.198071 | WER 100.00%
epoch   1 | iteration   760 | Loss 5.716495 | WER 100.00%
epoch   1 | iteration   780 | Loss 5.185822 | WER 100.00%
epoch   1 | iteration   800 | Loss 5.609946 | WER 100.00%
epoch   1 | iteration   820 | Loss 5.870090 | WER 100.00%
epoch   1 | iteration   840 | Loss 5.798369 | WER 100.00%
epoch   1 | iteration   860 | Loss 5.927657 | WER 100.00%
epoch   1 | iteration   880 | Loss 6.238659 | WER 100.00%
epoch   1 | iteration   900 | Loss 6.068449 | WER 100.00%
epoch   1 | iteration   920 | Loss 6.310748 | WER 100.00%
epoch   1 | iteration   940 | Loss 5.942415 | WER 100.00%
epoch   1 | iteration   960 | Loss 6.013887 | WER 100.00%
epoch   1 | iteration   980 | Loss 6.114990 | WER 100.00%
