Logging to file...
Dataset samples: 18601
######################Training Started######################
epoch   1 | iteration   100 | Loss 2.931347 | Acc 67.50% | WER 100.00%
epoch   1 | iteration   200 | Loss 3.279484 | Acc 60.00% | WER 86.13%
epoch   1 | iteration   300 | Loss 2.407896 | Acc 71.67% | WER 89.32%
epoch   1 | iteration   400 | Loss 2.099662 | Acc 73.33% | WER 97.10%
epoch   1 | iteration   500 | Loss 2.594428 | Acc 68.33% | WER 82.60%
epoch   1 | iteration   600 | Loss 2.496661 | Acc 63.33% | WER 92.49%
epoch   1 | iteration   700 | Loss 2.449178 | Acc 65.83% | WER 93.06%
epoch   1 | iteration   800 | Loss 2.158804 | Acc 68.33% | WER 89.31%
epoch   1 | iteration   900 | Loss 2.466508 | Acc 64.17% | WER 89.87%
epoch   1 | iteration  1000 | Loss 1.765971 | Acc 74.17% | WER 91.94%
epoch   1 | iteration  1100 | Loss 2.049423 | Acc 71.67% | WER 86.11%
epoch   1 | iteration  1200 | Loss 1.631957 | Acc 77.50% | WER 90.56%
epoch   1 | iteration  1300 | Loss 1.642265 | Acc 79.17% | WER 83.75%
epoch   1 | iteration  1400 | Loss 2.662633 | Acc 60.00% | WER 96.43%
epoch   1 | iteration  1500 | Loss 2.394226 | Acc 66.67% | WER 83.12%
epoch   1 | iteration  1600 | Loss 1.698609 | Acc 74.17% | WER 88.70%
epoch   1 | iteration  1700 | Loss 2.115182 | Acc 71.67% | WER 84.38%
epoch   1 | iteration  1800 | Loss 2.415888 | Acc 65.83% | WER 85.48%
epoch   1 | iteration  1900 | Loss 1.922171 | Acc 74.17% | WER 80.81%
epoch   1 | iteration  2000 | Loss 2.086864 | Acc 70.00% | WER 89.85%
epoch   1 | iteration  2100 | Loss 2.173568 | Acc 71.67% | WER 86.62%
epoch   1 | iteration  2200 | Loss 2.081941 | Acc 66.67% | WER 88.93%
epoch   1 | iteration  2300 | Loss 1.811375 | Acc 73.33% | WER 82.34%
epoch   1 | iteration  2400 | Loss 1.429601 | Acc 76.67% | WER 86.27%
epoch   1 | iteration  2500 | Loss 2.216986 | Acc 69.17% | WER 89.10%
epoch   1 | iteration  2600 | Loss 2.039432 | Acc 70.83% | WER 79.79%
epoch   1 | iteration  2700 | Loss 1.827613 | Acc 75.00% | WER 78.55%
epoch   1 | iteration  2800 | Loss 2.427494 | Acc 67.50% | WER 88.42%
epoch   1 | iteration  2900 | Loss 3.203606 | Acc 50.00% | WER 93.97%
epoch   1 | iteration  3000 | Loss 2.062224 | Acc 71.67% | WER 85.29%
epoch   1 | iteration  3100 | Loss 2.414609 | Acc 66.67% | WER 91.48%
epoch   1 | iteration  3200 | Loss 1.913837 | Acc 71.67% | WER 87.70%
epoch   1 | iteration  3300 | Loss 2.133507 | Acc 70.83% | WER 89.01%
epoch   1 | iteration  3400 | Loss 1.876316 | Acc 70.83% | WER 87.01%
epoch   1 | iteration  3500 | Loss 2.159213 | Acc 71.67% | WER 93.08%
epoch   1 | iteration  3600 | Loss 1.992908 | Acc 68.33% | WER 89.36%
epoch   1 | iteration  3700 | Loss 2.575317 | Acc 67.50% | WER 91.22%
epoch   1 | iteration  3800 | Loss 1.958622 | Acc 72.50% | WER 83.89%
epoch   1 | iteration  3900 | Loss 1.960891 | Acc 72.50% | WER 88.07%
epoch   1 | iteration  4000 | Loss 2.469182 | Acc 66.67% | WER 80.10%
epoch   1 | iteration  4100 | Loss 1.620420 | Acc 74.17% | WER 89.72%
epoch   1 | iteration  4200 | Loss 1.841104 | Acc 75.00% | WER 82.07%
epoch   1 | iteration  4300 | Loss 1.723133 | Acc 75.83% | WER 83.32%
epoch   1 | iteration  4400 | Loss 1.931155 | Acc 71.67% | WER 80.42%
epoch   1 | iteration  4500 | Loss 1.768876 | Acc 76.67% | WER 86.38%
epoch   1 | iteration  4600 | Loss 1.428835 | Acc 78.33% | WER 91.88%
Average Training Loss of Epoch 1: 2.293124 | Acc: 69.02% | WER 87.72%
Average Validation Loss of Epoch 1: 6.179256 | Acc: 50.70% | WER: 298.99% | BLEU-4: 0.00
Average test Loss of Epoch 1: 4.915615 | Acc: 51.50% | WER: 140.12% | BLEU-4: 0.00
####################Epoch 1 Model Saved#####################
epoch   2 | iteration   100 | Loss 2.148883 | Acc 68.33% | WER 84.70%
