Logging to file...
Dataset samples: 18801
######################Training Started######################
epoch   1 | iteration    20 | Loss 3.296098 | Acc 62.50% | WER 100.00%
epoch   1 | iteration    40 | Loss 3.260490 | Acc 62.50% | WER 100.00%
epoch   1 | iteration    60 | Loss 2.961249 | Acc 64.79% | WER 100.00%
epoch   1 | iteration    80 | Loss 2.956385 | Acc 65.00% | WER 100.00%
epoch   1 | iteration   100 | Loss 3.119476 | Acc 61.88% | WER 100.00%
epoch   1 | iteration   120 | Loss 3.518395 | Acc 57.71% | WER 100.00%
epoch   1 | iteration   140 | Loss 2.802037 | Acc 66.25% | WER 100.00%
epoch   1 | iteration   160 | Loss 3.165046 | Acc 61.88% | WER 100.00%
epoch   1 | iteration   180 | Loss 2.953439 | Acc 63.96% | WER 100.00%
epoch   1 | iteration   200 | Loss 3.036837 | Acc 63.96% | WER 100.00%
epoch   1 | iteration   220 | Loss 3.365413 | Acc 59.38% | WER 100.00%
epoch   1 | iteration   240 | Loss 2.784282 | Acc 66.25% | WER 100.00%
epoch   1 | iteration   260 | Loss 3.566339 | Acc 58.75% | WER 100.00%
epoch   1 | iteration   280 | Loss 3.253329 | Acc 58.96% | WER 100.00%
epoch   1 | iteration   300 | Loss 3.396687 | Acc 58.33% | WER 100.00%
epoch   1 | iteration   320 | Loss 3.545933 | Acc 58.96% | WER 100.00%
epoch   1 | iteration   340 | Loss 3.031287 | Acc 62.29% | WER 100.00%
epoch   1 | iteration   360 | Loss 2.963049 | Acc 63.33% | WER 100.00%
epoch   1 | iteration   380 | Loss 3.240162 | Acc 59.38% | WER 100.00%
epoch   1 | iteration   400 | Loss 3.666477 | Acc 54.79% | WER 100.00%
epoch   1 | iteration   420 | Loss 2.794319 | Acc 65.83% | WER 100.00%
epoch   1 | iteration   440 | Loss 3.203231 | Acc 61.25% | WER 100.00%
epoch   1 | iteration   460 | Loss 3.092725 | Acc 62.50% | WER 100.00%
epoch   1 | iteration   480 | Loss 2.544044 | Acc 68.75% | WER 100.00%
epoch   1 | iteration   500 | Loss 3.552005 | Acc 55.42% | WER 100.00%
epoch   1 | iteration   520 | Loss 2.931562 | Acc 63.96% | WER 100.00%
epoch   1 | iteration   540 | Loss 3.056779 | Acc 61.88% | WER 100.00%
epoch   1 | iteration   560 | Loss 2.895192 | Acc 63.96% | WER 100.00%
epoch   1 | iteration   580 | Loss 2.831990 | Acc 64.38% | WER 100.00%
epoch   1 | iteration   600 | Loss 3.118145 | Acc 61.04% | WER 100.00%
epoch   1 | iteration   620 | Loss 3.043444 | Acc 63.33% | WER 100.00%
epoch   1 | iteration   640 | Loss 2.894525 | Acc 61.25% | WER 100.00%
epoch   1 | iteration   660 | Loss 2.760391 | Acc 64.38% | WER 100.00%
epoch   1 | iteration   680 | Loss 2.871294 | Acc 64.17% | WER 100.00%
epoch   1 | iteration   700 | Loss 3.179258 | Acc 59.58% | WER 100.00%
epoch   1 | iteration   720 | Loss 2.824087 | Acc 65.21% | WER 100.00%
epoch   1 | iteration   740 | Loss 2.980532 | Acc 62.92% | WER 100.00%
epoch   1 | iteration   760 | Loss 3.491538 | Acc 58.13% | WER 100.00%
epoch   1 | iteration   780 | Loss 2.854065 | Acc 64.79% | WER 100.00%
epoch   1 | iteration   800 | Loss 3.200005 | Acc 60.00% | WER 100.00%
epoch   1 | iteration   820 | Loss 3.341290 | Acc 59.58% | WER 100.00%
epoch   1 | iteration   840 | Loss 2.764698 | Acc 66.67% | WER 100.00%
epoch   1 | iteration   860 | Loss 3.263645 | Acc 58.96% | WER 100.00%
epoch   1 | iteration   880 | Loss 2.898468 | Acc 65.21% | WER 100.00%
epoch   1 | iteration   900 | Loss 3.026683 | Acc 60.42% | WER 100.00%
epoch   1 | iteration   920 | Loss 3.226955 | Acc 59.17% | WER 100.00%
epoch   1 | iteration   940 | Loss 3.081604 | Acc 60.21% | WER 100.00%
epoch   1 | iteration   960 | Loss 3.296286 | Acc 58.96% | WER 100.00%
epoch   1 | iteration   980 | Loss 2.572644 | Acc 67.08% | WER 100.00%
epoch   1 | iteration  1000 | Loss 3.203555 | Acc 60.42% | WER 100.00%
epoch   1 | iteration  1020 | Loss 2.768595 | Acc 65.00% | WER 100.00%
epoch   1 | iteration  1040 | Loss 3.051303 | Acc 61.04% | WER 100.00%
epoch   1 | iteration  1060 | Loss 2.741392 | Acc 65.00% | WER 100.00%
epoch   1 | iteration  1080 | Loss 2.961678 | Acc 62.71% | WER 100.00%
epoch   1 | iteration  1100 | Loss 2.885793 | Acc 64.79% | WER 100.00%
epoch   1 | iteration  1120 | Loss 2.863466 | Acc 65.00% | WER 100.00%
epoch   1 | iteration  1140 | Loss 2.940834 | Acc 62.71% | WER 100.00%
Average Training Loss of Epoch 1: 3.129172 | Acc: 61.50% | WER 100.43%
Average Validation Loss of Epoch 1: 1.696106 | Acc: 78.65% | WER: 100.00% | BLEU-4: 0.00
