Logging to file...
Dataset samples: 20654
######################Training Started######################
epoch   1 | iteration   100 | Loss 6.832402 | Acc 5.00% | WER 172.52%
epoch   1 | iteration   200 | Loss 5.527813 | Acc 7.50% | WER 139.96%
epoch   1 | iteration   300 | Loss 6.209004 | Acc 5.83% | WER 180.24%
epoch   1 | iteration   400 | Loss 6.103460 | Acc 7.50% | WER 200.90%
epoch   1 | iteration   500 | Loss 6.282498 | Acc 8.33% | WER 135.83%
epoch   1 | iteration   600 | Loss 5.936749 | Acc 8.33% | WER 218.55%
epoch   1 | iteration   700 | Loss 5.360042 | Acc 5.83% | WER 159.09%
epoch   1 | iteration   800 | Loss 6.365001 | Acc 5.83% | WER 238.65%
epoch   1 | iteration   900 | Loss 6.428715 | Acc 4.17% | WER 227.02%
epoch   1 | iteration  1000 | Loss 5.779696 | Acc 5.83% | WER 232.74%
epoch   1 | iteration  1100 | Loss 5.790992 | Acc 7.50% | WER 202.36%
epoch   1 | iteration  1200 | Loss 6.107805 | Acc 5.83% | WER 195.38%
epoch   1 | iteration  1300 | Loss 5.271685 | Acc 11.67% | WER 167.71%
epoch   1 | iteration  1400 | Loss 6.260115 | Acc 8.33% | WER 124.44%
epoch   1 | iteration  1500 | Loss 6.082841 | Acc 8.33% | WER 166.86%
epoch   1 | iteration  1600 | Loss 5.079281 | Acc 7.50% | WER 209.72%
epoch   1 | iteration  1700 | Loss 6.060215 | Acc 6.67% | WER 229.57%
epoch   1 | iteration  1800 | Loss 6.415998 | Acc 10.00% | WER 172.12%
epoch   1 | iteration  1900 | Loss 5.657582 | Acc 6.67% | WER 144.58%
epoch   1 | iteration  2000 | Loss 6.662821 | Acc 7.50% | WER 142.98%
epoch   1 | iteration  2100 | Loss 5.226476 | Acc 6.67% | WER 214.72%
epoch   1 | iteration  2200 | Loss 5.648837 | Acc 7.50% | WER 138.00%
epoch   1 | iteration  2300 | Loss 5.686500 | Acc 4.17% | WER 201.46%
epoch   1 | iteration  2400 | Loss 5.204721 | Acc 7.50% | WER 216.00%
epoch   1 | iteration  2500 | Loss 6.113101 | Acc 4.17% | WER 172.01%
epoch   1 | iteration  2600 | Loss 5.606414 | Acc 8.33% | WER 184.90%
epoch   1 | iteration  2700 | Loss 5.221480 | Acc 5.00% | WER 243.91%
epoch   1 | iteration  2800 | Loss 5.962917 | Acc 8.33% | WER 144.94%
epoch   1 | iteration  2900 | Loss 5.772984 | Acc 6.67% | WER 178.78%
epoch   1 | iteration  3000 | Loss 5.777306 | Acc 5.83% | WER 155.70%
epoch   1 | iteration  3100 | Loss 6.203754 | Acc 6.67% | WER 168.08%
epoch   1 | iteration  3200 | Loss 5.371149 | Acc 4.17% | WER 172.96%
epoch   1 | iteration  3300 | Loss 6.070426 | Acc 4.17% | WER 167.42%
epoch   1 | iteration  3400 | Loss 4.812726 | Acc 9.17% | WER 141.59%
epoch   1 | iteration  3500 | Loss 5.924551 | Acc 5.00% | WER 177.84%
epoch   1 | iteration  3600 | Loss 5.823064 | Acc 5.00% | WER 217.49%
epoch   1 | iteration  3700 | Loss 6.528253 | Acc 5.83% | WER 209.43%
