Logging to file...
Dataset samples: 18801
######################Training Started######################
epoch   1 | iteration    20 | Loss 3.207629 | Acc 62.92% | WER 100.00%
epoch   1 | iteration    40 | Loss 3.226254 | Acc 63.12% | WER 100.00%
epoch   1 | iteration    60 | Loss 3.501695 | Acc 58.13% | WER 100.00%
epoch   1 | iteration    80 | Loss 3.269004 | Acc 61.25% | WER 100.00%
epoch   1 | iteration   100 | Loss 3.306951 | Acc 58.96% | WER 100.00%
epoch   1 | iteration   120 | Loss 2.865937 | Acc 66.46% | WER 100.00%
epoch   1 | iteration   140 | Loss 3.114059 | Acc 60.42% | WER 100.00%
epoch   1 | iteration   160 | Loss 2.846816 | Acc 66.46% | WER 100.00%
epoch   1 | iteration   180 | Loss 2.887975 | Acc 65.21% | WER 100.00%
epoch   1 | iteration   200 | Loss 3.561570 | Acc 57.71% | WER 100.00%
epoch   1 | iteration   220 | Loss 3.035632 | Acc 63.12% | WER 100.00%
epoch   1 | iteration   240 | Loss 3.111521 | Acc 61.67% | WER 100.00%
epoch   1 | iteration   260 | Loss 3.050099 | Acc 63.12% | WER 100.00%
epoch   1 | iteration   280 | Loss 3.083126 | Acc 61.67% | WER 100.00%
epoch   1 | iteration   300 | Loss 3.189721 | Acc 61.67% | WER 100.00%
epoch   1 | iteration   320 | Loss 2.769649 | Acc 65.83% | WER 100.00%
epoch   1 | iteration   340 | Loss 3.178059 | Acc 61.04% | WER 100.00%
epoch   1 | iteration   360 | Loss 3.379641 | Acc 59.17% | WER 100.00%
epoch   1 | iteration   380 | Loss 3.030507 | Acc 61.88% | WER 100.00%
epoch   1 | iteration   400 | Loss 3.429068 | Acc 57.92% | WER 100.00%
epoch   1 | iteration   420 | Loss 3.289711 | Acc 59.38% | WER 100.00%
epoch   1 | iteration   440 | Loss 3.397286 | Acc 58.75% | WER 100.00%
epoch   1 | iteration   460 | Loss 3.367145 | Acc 58.33% | WER 100.00%
epoch   1 | iteration   480 | Loss 3.095382 | Acc 59.79% | WER 100.00%
epoch   1 | iteration   500 | Loss 2.933135 | Acc 64.17% | WER 100.00%
epoch   1 | iteration   520 | Loss 2.946689 | Acc 61.67% | WER 100.00%
epoch   1 | iteration   540 | Loss 3.158062 | Acc 61.88% | WER 100.00%
epoch   1 | iteration   560 | Loss 2.951340 | Acc 64.58% | WER 100.00%
epoch   1 | iteration   580 | Loss 3.252929 | Acc 59.38% | WER 100.00%
epoch   1 | iteration   600 | Loss 2.728528 | Acc 65.42% | WER 100.00%
epoch   1 | iteration   620 | Loss 3.083519 | Acc 62.92% | WER 100.00%
epoch   1 | iteration   640 | Loss 3.395053 | Acc 58.54% | WER 100.00%
epoch   1 | iteration   660 | Loss 3.105824 | Acc 63.33% | WER 100.00%
epoch   1 | iteration   680 | Loss 3.283768 | Acc 60.21% | WER 100.00%
epoch   1 | iteration   700 | Loss 3.067133 | Acc 63.54% | WER 100.00%
epoch   1 | iteration   720 | Loss 2.993855 | Acc 63.75% | WER 100.00%
epoch   1 | iteration   740 | Loss 2.979507 | Acc 62.29% | WER 100.00%
epoch   1 | iteration   760 | Loss 2.782421 | Acc 64.58% | WER 100.00%
epoch   1 | iteration   780 | Loss 3.309054 | Acc 60.00% | WER 100.00%
