Logging to file...
Dataset samples: 18601
######################Training Started######################
epoch   1 | iteration   100 | Loss 2.225829 | Acc 70.00% | WER 102.22% | BLEU-4 0.00
epoch   1 | iteration   200 | Loss 2.765937 | Acc 58.33% | WER 103.08% | BLEU-4 0.00
epoch   1 | iteration   300 | Loss 2.567222 | Acc 66.67% | WER 89.50% | BLEU-4 0.00
epoch   1 | iteration   400 | Loss 2.173408 | Acc 72.50% | WER 90.10% | BLEU-4 0.00
epoch   1 | iteration   500 | Loss 3.357329 | Acc 63.33% | WER 88.14% | BLEU-4 0.00
epoch   1 | iteration   600 | Loss 3.173118 | Acc 57.50% | WER 90.78% | BLEU-4 0.00
epoch   1 | iteration   700 | Loss 2.196855 | Acc 67.50% | WER 84.86% | BLEU-4 0.00
epoch   1 | iteration   800 | Loss 2.668127 | Acc 65.83% | WER 91.81% | BLEU-4 0.00
epoch   1 | iteration   900 | Loss 2.257329 | Acc 71.67% | WER 88.49% | BLEU-4 0.00
epoch   1 | iteration  1000 | Loss 2.741861 | Acc 61.67% | WER 86.20% | BLEU-4 0.00
epoch   1 | iteration  1100 | Loss 2.292566 | Acc 66.67% | WER 82.92% | BLEU-4 0.00
epoch   1 | iteration  1200 | Loss 2.442625 | Acc 68.33% | WER 85.00% | BLEU-4 0.00
epoch   1 | iteration  1300 | Loss 2.314577 | Acc 69.17% | WER 89.62% | BLEU-4 0.00
epoch   1 | iteration  1400 | Loss 2.548500 | Acc 66.67% | WER 88.28% | BLEU-4 0.00
epoch   1 | iteration  1500 | Loss 1.974025 | Acc 73.33% | WER 82.77% | BLEU-4 0.00
epoch   1 | iteration  1600 | Loss 1.942953 | Acc 74.17% | WER 85.97% | BLEU-4 0.00
epoch   1 | iteration  1700 | Loss 3.040574 | Acc 56.67% | WER 94.44% | BLEU-4 0.00
epoch   1 | iteration  1800 | Loss 1.785861 | Acc 76.67% | WER 84.94% | BLEU-4 0.00
epoch   1 | iteration  1900 | Loss 1.997342 | Acc 69.17% | WER 93.14% | BLEU-4 0.00
epoch   1 | iteration  2000 | Loss 2.701268 | Acc 62.50% | WER 88.12% | BLEU-4 0.00
epoch   1 | iteration  2100 | Loss 2.165556 | Acc 69.17% | WER 90.80% | BLEU-4 0.00
epoch   1 | iteration  2200 | Loss 2.032310 | Acc 69.17% | WER 86.81% | BLEU-4 0.00
epoch   1 | iteration  2300 | Loss 1.927949 | Acc 71.67% | WER 85.00% | BLEU-4 0.00
epoch   1 | iteration  2400 | Loss 2.404131 | Acc 68.33% | WER 86.25% | BLEU-4 0.00
epoch   1 | iteration  2500 | Loss 2.472152 | Acc 68.33% | WER 90.25% | BLEU-4 0.00
epoch   1 | iteration  2600 | Loss 2.915240 | Acc 61.67% | WER 90.32% | BLEU-4 0.00
epoch   1 | iteration  2700 | Loss 1.757467 | Acc 74.17% | WER 91.38% | BLEU-4 0.00
epoch   1 | iteration  2800 | Loss 2.113961 | Acc 72.50% | WER 85.14% | BLEU-4 0.00
epoch   1 | iteration  2900 | Loss 1.886296 | Acc 74.17% | WER 84.00% | BLEU-4 0.00
epoch   1 | iteration  3000 | Loss 2.159672 | Acc 72.50% | WER 82.90% | BLEU-4 0.00
epoch   1 | iteration  3100 | Loss 2.059458 | Acc 67.50% | WER 88.79% | BLEU-4 0.00
epoch   1 | iteration  3200 | Loss 1.677455 | Acc 77.50% | WER 90.18% | BLEU-4 0.00
epoch   1 | iteration  3300 | Loss 1.984070 | Acc 71.67% | WER 84.69% | BLEU-4 0.00
epoch   1 | iteration  3400 | Loss 1.846869 | Acc 72.50% | WER 88.72% | BLEU-4 0.00
epoch   1 | iteration  3500 | Loss 2.355657 | Acc 65.00% | WER 92.66% | BLEU-4 0.00
epoch   1 | iteration  3600 | Loss 2.087668 | Acc 70.00% | WER 87.23% | BLEU-4 0.00
epoch   1 | iteration  3700 | Loss 2.364227 | Acc 65.83% | WER 87.82% | BLEU-4 0.00
epoch   1 | iteration  3800 | Loss 2.619576 | Acc 61.67% | WER 89.36% | BLEU-4 0.00
epoch   1 | iteration  3900 | Loss 1.794430 | Acc 73.33% | WER 85.71% | BLEU-4 0.00
epoch   1 | iteration  4000 | Loss 1.647088 | Acc 77.50% | WER 86.15% | BLEU-4 0.00
epoch   1 | iteration  4100 | Loss 2.485903 | Acc 65.83% | WER 79.74% | BLEU-4 0.00
epoch   1 | iteration  4200 | Loss 2.122203 | Acc 65.00% | WER 92.66% | BLEU-4 0.00
epoch   1 | iteration  4300 | Loss 1.545185 | Acc 77.50% | WER 77.92% | BLEU-4 0.00
epoch   1 | iteration  4400 | Loss 2.131910 | Acc 70.00% | WER 83.55% | BLEU-4 0.00
epoch   1 | iteration  4500 | Loss 1.817335 | Acc 71.67% | WER 81.16% | BLEU-4 0.00
epoch   1 | iteration  4600 | Loss 2.390528 | Acc 65.00% | WER 87.63% | BLEU-4 0.00
Average Training Loss of Epoch 1: 2.253936 | Acc: 68.73% | WER 88.69% | BLEU-4 0.00
Average Validation Loss of Epoch 1: 11.652179 | Acc: 8.67% | WER: 261.91% | BLEU-4: 0.00
Average test Loss of Epoch 1: 11.784843 | Acc: 8.10% | WER: 289.36% | BLEU-4: 0.00
####################Epoch 1 Model Saved#####################
epoch   2 | iteration   100 | Loss 2.427882 | Acc 67.50% | WER 86.41% | BLEU-4 0.00
epoch   2 | iteration   200 | Loss 1.725113 | Acc 73.33% | WER 92.33% | BLEU-4 0.00
epoch   2 | iteration   300 | Loss 2.055506 | Acc 70.83% | WER 82.74% | BLEU-4 0.00
epoch   2 | iteration   400 | Loss 1.519789 | Acc 78.33% | WER 78.19% | BLEU-4 0.00
epoch   2 | iteration   500 | Loss 2.304471 | Acc 70.83% | WER 84.17% | BLEU-4 0.00
epoch   2 | iteration   600 | Loss 2.288051 | Acc 69.17% | WER 91.48% | BLEU-4 0.00
epoch   2 | iteration   700 | Loss 2.042904 | Acc 70.83% | WER 88.82% | BLEU-4 0.00
epoch   2 | iteration   800 | Loss 2.153231 | Acc 70.00% | WER 91.04% | BLEU-4 0.00
epoch   2 | iteration   900 | Loss 2.024906 | Acc 70.83% | WER 87.08% | BLEU-4 0.00
epoch   2 | iteration  1000 | Loss 2.823210 | Acc 65.83% | WER 81.96% | BLEU-4 0.00
epoch   2 | iteration  1100 | Loss 2.741017 | Acc 62.50% | WER 89.27% | BLEU-4 0.00
epoch   2 | iteration  1200 | Loss 1.871601 | Acc 75.00% | WER 79.11% | BLEU-4 0.00
epoch   2 | iteration  1300 | Loss 1.537120 | Acc 77.50% | WER 83.96% | BLEU-4 0.00
epoch   2 | iteration  1400 | Loss 2.442805 | Acc 65.00% | WER 81.88% | BLEU-4 0.00
epoch   2 | iteration  1500 | Loss 1.876053 | Acc 75.00% | WER 85.13% | BLEU-4 0.00
epoch   2 | iteration  1600 | Loss 2.676510 | Acc 65.00% | WER 87.95% | BLEU-4 0.00
epoch   2 | iteration  1700 | Loss 2.469146 | Acc 67.50% | WER 86.46% | BLEU-4 0.00
epoch   2 | iteration  1800 | Loss 2.097631 | Acc 70.83% | WER 80.13% | BLEU-4 0.00
epoch   2 | iteration  1900 | Loss 2.008418 | Acc 72.50% | WER 85.38% | BLEU-4 0.00
epoch   2 | iteration  2000 | Loss 2.888000 | Acc 55.00% | WER 90.04% | BLEU-4 0.00
epoch   2 | iteration  2100 | Loss 1.229998 | Acc 82.50% | WER 96.43% | BLEU-4 0.00
epoch   2 | iteration  2200 | Loss 1.947701 | Acc 74.17% | WER 82.91% | BLEU-4 0.00
epoch   2 | iteration  2300 | Loss 2.182237 | Acc 69.17% | WER 75.26% | BLEU-4 0.00
epoch   2 | iteration  2400 | Loss 1.290549 | Acc 77.50% | WER 94.38% | BLEU-4 0.00
epoch   2 | iteration  2500 | Loss 2.718742 | Acc 63.33% | WER 83.73% | BLEU-4 0.00
epoch   2 | iteration  2600 | Loss 2.515979 | Acc 61.67% | WER 90.28% | BLEU-4 0.00
epoch   2 | iteration  2700 | Loss 1.753441 | Acc 73.33% | WER 85.16% | BLEU-4 0.00
epoch   2 | iteration  2800 | Loss 2.043326 | Acc 70.83% | WER 87.17% | BLEU-4 0.00
epoch   2 | iteration  2900 | Loss 1.831735 | Acc 70.83% | WER 84.23% | BLEU-4 0.00
epoch   2 | iteration  3000 | Loss 2.811785 | Acc 60.83% | WER 86.74% | BLEU-4 0.00
epoch   2 | iteration  3100 | Loss 2.183567 | Acc 67.50% | WER 86.15% | BLEU-4 0.00
epoch   2 | iteration  3200 | Loss 1.652095 | Acc 75.00% | WER 93.18% | BLEU-4 0.00
epoch   2 | iteration  3300 | Loss 2.386687 | Acc 63.33% | WER 89.22% | BLEU-4 0.00
epoch   2 | iteration  3400 | Loss 2.223244 | Acc 66.67% | WER 90.23% | BLEU-4 0.00
epoch   2 | iteration  3500 | Loss 2.594602 | Acc 64.17% | WER 87.96% | BLEU-4 0.00
epoch   2 | iteration  3600 | Loss 1.732492 | Acc 76.67% | WER 82.22% | BLEU-4 0.00
epoch   2 | iteration  3700 | Loss 3.166050 | Acc 58.33% | WER 84.54% | BLEU-4 0.00
epoch   2 | iteration  3800 | Loss 2.798473 | Acc 63.33% | WER 88.68% | BLEU-4 0.00
epoch   2 | iteration  3900 | Loss 2.038516 | Acc 70.00% | WER 86.49% | BLEU-4 0.00
epoch   2 | iteration  4000 | Loss 2.659555 | Acc 58.33% | WER 90.42% | BLEU-4 0.00
epoch   2 | iteration  4100 | Loss 1.491096 | Acc 78.33% | WER 84.58% | BLEU-4 0.00
epoch   2 | iteration  4200 | Loss 2.622912 | Acc 61.67% | WER 92.23% | BLEU-4 0.00
epoch   2 | iteration  4300 | Loss 2.297642 | Acc 70.00% | WER 78.95% | BLEU-4 0.00
epoch   2 | iteration  4400 | Loss 1.944960 | Acc 74.17% | WER 87.08% | BLEU-4 0.00
epoch   2 | iteration  4500 | Loss 2.703741 | Acc 62.50% | WER 86.70% | BLEU-4 0.00
epoch   2 | iteration  4600 | Loss 2.209882 | Acc 68.33% | WER 83.05% | BLEU-4 0.00
Average Training Loss of Epoch 2: 2.110086 | Acc: 69.70% | WER 86.31% | BLEU-4 0.00
Average Validation Loss of Epoch 2: 4.987918 | Acc: 51.87% | WER: 124.17% | BLEU-4: 0.00
Average test Loss of Epoch 2: 5.045478 | Acc: 51.50% | WER: 141.07% | BLEU-4: 0.00
####################Epoch 2 Model Saved#####################
epoch   3 | iteration   100 | Loss 1.725729 | Acc 74.17% | WER 89.17% | BLEU-4 0.00
epoch   3 | iteration   200 | Loss 1.937297 | Acc 71.67% | WER 93.03% | BLEU-4 0.00
epoch   3 | iteration   300 | Loss 2.459880 | Acc 64.17% | WER 94.44% | BLEU-4 0.00
epoch   3 | iteration   400 | Loss 2.355806 | Acc 65.00% | WER 86.46% | BLEU-4 0.00
epoch   3 | iteration   500 | Loss 1.750677 | Acc 76.67% | WER 81.66% | BLEU-4 0.00
epoch   3 | iteration   600 | Loss 2.056408 | Acc 70.83% | WER 84.33% | BLEU-4 0.00
epoch   3 | iteration   700 | Loss 1.764353 | Acc 72.50% | WER 83.91% | BLEU-4 0.00
