Logging to file...
Dataset samples: 19003
######################Training Started######################
epoch   1 | iteration    40 | Loss 2.608761 | Acc 68.33% | WER 89.63%
epoch   1 | iteration    80 | Loss 2.641827 | Acc 65.42% | WER 92.14%
epoch   1 | iteration   120 | Loss 2.875718 | Acc 62.81% | WER 89.06%
epoch   1 | iteration   160 | Loss 2.497546 | Acc 65.73% | WER 91.29%
epoch   1 | iteration   200 | Loss 2.315979 | Acc 68.75% | WER 86.90%
epoch   1 | iteration   240 | Loss 2.451665 | Acc 67.50% | WER 86.42%
epoch   1 | iteration   280 | Loss 2.386012 | Acc 66.88% | WER 87.45%
epoch   1 | iteration   320 | Loss 2.353254 | Acc 68.12% | WER 84.57%
epoch   1 | iteration   360 | Loss 2.106812 | Acc 70.73% | WER 84.42%
epoch   1 | iteration   400 | Loss 2.176126 | Acc 71.67% | WER 82.94%
epoch   1 | iteration   440 | Loss 2.219650 | Acc 69.06% | WER 88.18%
epoch   1 | iteration   480 | Loss 2.123743 | Acc 70.83% | WER 87.10%
epoch   1 | iteration   520 | Loss 2.303590 | Acc 69.38% | WER 85.06%
epoch   1 | iteration   560 | Loss 2.234571 | Acc 69.79% | WER 82.83%
Average Training Loss of Epoch 1: 2.413601 | Acc: 68.30% | WER 88.18%
####################Epoch 1 Model Saved#####################
